Repo,Author,Star,Fork,Watch,Creation,Last Update,Language,Topic,Family,Platform
mini-bk-python,bobslavtrievich,0,0,0,2018-07-29,2018-07-31,Python,,backdoor,
ApkVenom,kr0no,2,0,2,2018-01-10,2021-03-26,Python,,backdoor,
Backdoor-with-Python,AxisAxes,1,1,0,2019-04-15,2019-12-01,Python,,backdoor,
My-Shells-backdoor,yousssef201,0,0,1,2017-11-03,2019-04-26,PHP,,backdoor,
ehud,malcomvetter,0,0,1,2015-09-16,2015-09-16,C,,backdoor,windows
backsep,seprob,0,0,1,2016-07-26,2016-07-26,C,,backdoor,
Reverse_Backdoor,realphant0m,0,0,0,2018-09-10,2018-09-12,Python,,backdoor,
UnrealIRCd-3.2.8.1-Backdoor,Ranger11Danger,6,6,0,2019-04-09,2021-11-22,Python,,backdoor,
GuessNumber,WifiEro,0,0,0,2018-02-25,2018-02-25,Batchfile,,backdoor,
bootstrap-backdoor,RicardoGeek,0,0,1,2018-10-09,2018-10-09,PHP,,backdoor,
Gmod-Backdoor-Menu-Grobyware,shane7716,0,0,1,2019-05-27,2019-05-27,Lua,,backdoor,
Word-Macro-ncat-Backdoor-,bdunlap9,3,6,1,2018-01-20,2021-08-05,Visual Basic,,backdoor,
rpef,dheerajsarupuri,1,0,0,2017-11-24,2020-08-10,C,,"backdoor, botnet",
PypeBomb,Laserbear,1,0,1,2016-01-09,2018-11-18,Python,,backdoor,
iptables,moataz-metwally,0,0,0,2018-09-03,2018-09-03,,,backdoor,
B4ckd00r,toxic-ig,2,2,1,2017-01-02,2021-07-14,Python,,backdoor,
Cloak,Miscellaneous0,0,0,1,2018-01-20,2018-01-20,Python,,backdoor,
swormjs,bekher,0,0,2,2016-04-12,2016-04-12,JavaScript,,"backdoor, worm",
jogoAnaliseCombinatoria,pibidIfbaTeam,0,0,2,2014-11-13,2014-11-13,,,backdoor,
shell-scan,Rhi7,6,11,0,2018-07-16,2021-10-24,Python,"python, python3, scanner, find-shell-web",backdoor,
Py-Door,MonoSkyStep,0,0,1,2015-05-15,2019-05-19,Python,,backdoor,
Erasmus,sethballantyne,0,0,1,2017-03-28,2017-04-14,,,backdoor,windows
Cloak,RexTheGod,3,2,0,2018-04-25,2020-07-02,Python,,backdoor,
shellnet,TheDarkHorseUprising,0,1,1,2018-06-24,2018-06-24,Python,,backdoor,
andromeda,3xploit666,3,2,0,2019-03-25,2021-10-24,Python,,backdoor,"android, windows"
UDP-Backdoor-for-Linux,am3ience,0,0,2,2018-06-13,2019-02-20,Python,,backdoor,linux
backdoor,adamawoolley,0,0,0,2019-02-21,2019-02-21,Python,,backdoor,
ReverseShell,magnusdarkwinter,0,0,0,2017-06-01,2017-09-03,Python,,backdoor,
File-Exfiltration-Backdoor,kayyjee,0,1,1,2016-11-30,2017-05-26,Python,,backdoor,
juniecakes,DataandGoliath,0,0,0,2018-03-27,2018-03-27,,,backdoor,
xbc,xuxuedong,0,0,1,2019-04-14,2019-07-21,,"windows, linux",backdoor,"linux, windows"
G_Entry-backdoor,raoulbigg,0,2,2,2016-12-30,2017-01-02,Python,,backdoor,
joomla-nohttps-poc,hannob,0,0,1,2016-07-15,2016-07-15,,,backdoor,
bdoor,exhu,1,0,2,2012-02-29,2014-12-28,Java,,backdoor,
Windows-backdoor-PoC,joshenders,0,0,1,2009-12-27,2014-02-16,,,backdoor,windows
netool-toolkit-downloader-installer,mr-wassim,13,11,3,2017-06-30,2021-11-22,Shell,,"backdoor, sniff, spoof, trojan","android, linux, mac"
covert_backdoor,RobertPurdey,0,0,2,2017-12-09,2017-12-09,Python,,backdoor,
WinBindShell,tyger99,0,0,0,2016-10-15,2016-10-15,Assembly,,,windows
backdoorify.py,Angkan,1,0,1,2017-11-12,2020-08-10,Python,,backdoor,windows
TheFatRat,ru-faraon,3,4,4,2016-09-02,2019-06-19,C,,backdoor,"android, linux, mac, windows"
RAT,itsrohanvj,5,2,1,2019-03-28,2021-12-15,Python,"python, python2, rat, client-server, backdoor, listeners, remote-administrator-tool",backdoor,windows
Arduino-Netcat-Backdoor,DapfiDuck,2,3,2,2019-05-22,2020-12-03,C++,,backdoor,windows
gdog_reloaded-master,giovannicolonna,0,1,1,2017-11-18,2017-11-18,Python,"backdoor, python, gmail, windows",backdoor,windows
8505_a3,CerberusOne,0,0,1,2019-01-25,2019-01-25,C,,backdoor,
IoxxVemon,ioxxioxx,0,0,2,2017-12-20,2017-12-20,Shell,,backdoor,
ATtiny-85-Bad-Usb,viperbluff,2,2,2,2017-11-19,2020-06-13,Arduino,,backdoor,linux
Mergencry,pr0ph3ttr,0,2,1,2018-07-10,2018-07-10,,,"backdoor, trojan",windows
BackdoorTutorial,gleydson,0,1,0,2018-05-05,2018-12-26,,"payload, backdoor, security, kali-linux, tutorial, python, android, information-security",backdoor,"android, linux"
Sad-Boy-Shell-Backdoor,SadBoy1922,1,3,1,2019-05-16,2019-06-11,,,"backdoor, ransomware",
vsftpd_234_backdoor,uralmetal,0,0,0,2019-04-19,2019-04-19,Shell,,backdoor,
CSRF-Uploader,FajarTheGGman,1,1,0,2019-05-23,2021-04-29,JavaScript,,backdoor,
Voter-Management,namaste09,0,0,0,2018-03-26,2018-03-26,Java,,backdoor,
ReverseCpp,d34thn3t,1,1,0,2017-03-22,2017-08-27,C++,"windows, reverses, keylog",backdoor,windows
compiler-backdoor,ahuff44,1,0,2,2017-05-06,2017-05-09,Ruby,,backdoor,
backdoor,dmayna,1,0,1,2017-11-15,2017-12-22,Python,,backdoor,
Powershell_HTTP_Backdoor,snir-levi,4,1,0,2019-04-24,2019-09-13,PowerShell,,backdoor,
Backdoor,maxxie114,1,0,0,2019-04-21,2021-03-24,Java,,backdoor,
8505_a5,CerberusOne,1,0,1,2019-01-27,2019-02-24,C,,backdoor,
backshark,lockedbyte,0,0,0,2018-12-22,2018-12-23,,,backdoor,windows
Port-knocking-Backdoor,sharmin-lalani,1,0,0,2017-09-29,2019-08-08,C++,,backdoor,linux
Telnetcmd,lzhengwei,0,0,1,2017-06-19,2017-06-19,HTML,,backdoor,
TCP_Reverse-shell-backdoor,cardangi,0,0,0,2017-04-09,2018-01-17,Python,,backdoor,
ODOORS,SPADES16,1,0,0,2018-04-19,2019-08-19,Python,,backdoor,
Python-shell,JBAhire,2,1,1,2017-12-25,2021-10-11,Python,"python, shell-script, shell, remote-shell, reverse-shell, cyber-recon, payload-generation, cybersecurity, input-injection",,"linux, windows"
Backdoor,KrzysztofSzewczyk,0,0,0,2018-10-07,2019-02-23,C,,backdoor,
simpleRubyReverseBackdoor,gillesdubois,0,0,1,2017-02-19,2017-02-19,Ruby,,backdoor,
MSFListener,chinnidiwakar,0,3,1,2016-09-24,2020-08-16,Python,,backdoor,
multialex,d3m0n4l3x,0,0,0,2018-03-31,2018-10-10,Perl,"backdoor, multiple-threads",backdoor,
BrainDamage,id-x6x,1,1,0,2017-07-10,2019-04-01,Python,,"backdoor, botnet, keylogger",windows
Teacup-Backdoor,hiratara,1,0,0,2012-02-08,2013-09-29,JavaScript,,backdoor,
bind-connector-win-linux,lizard2h,1,1,1,2018-03-16,2018-05-22,C,,backdoor,linux
Python-Cisco-File-Upload,alanzxc,2,1,1,2014-05-31,2019-09-23,Python,,backdoor,
BackdoorEleanor,ShellBear,0,0,1,2016-08-03,2016-08-03,Shell,,backdoor,mac
bdmultiplexer,bocajspear1,1,2,1,2018-10-30,2021-07-26,Go,"cny-hackathon, red-team",backdoor,
cmonkey,aliagamon,2,0,2,2018-04-26,2019-11-03,C,"backdoor, windows-backdoor, shellexecute, email, wip-do-not-use",backdoor,windows
kali_backdoor,diegolinhares,1,0,1,2016-07-10,2019-04-11,Shell,,backdoor,linux
HiJack,slashlost-found,0,0,1,2019-05-17,2019-05-17,Shell,,backdoor,
Aguini,HackingEnVivo,1,4,2,2017-02-01,2017-09-25,Python,,backdoor,linux
simple-self-connecting-reverse-shell,Miguel-Frazao,1,0,1,2017-04-12,2017-04-12,Python,,backdoor,
javaBD,BinksT,0,0,0,2018-12-25,2018-12-25,,,backdoor,
mutiple_reserse_tcp,DeamonPedro,0,0,0,2019-05-26,2019-05-26,C#,,backdoor,
Backdoor-reverse-tcp-shell-,KharimMchatta,1,0,0,2019-03-17,2019-06-18,Python,,backdoor,
phantom,konsaranto,4,1,1,2018-08-07,2021-07-26,Shell,"rootkit, toolkit, tool, keylogger","backdoor, keylogger, rootkit",linux
reverse-shell-netcat,kaosV20,0,0,0,2018-02-11,2018-11-12,Python,"python, netcat, malware, linux, reverse, connector, shell, powershell",backdoor,"linux, windows"
WhatsApp-Parser,P13RC33,1,0,0,2018-03-31,2020-10-03,Shell,,backdoor,
backdoors-py,RedAbraskull,1,0,1,2018-06-01,2021-02-26,Python,,backdoor,
backdoor-apk,Android013,2,0,1,2017-01-13,2019-05-17,Shell,,backdoor,"android, linux"
Sample,ghostmaze,0,2,0,2018-04-28,2018-08-20,Perl,,"backdoor, trojan, virus",
RubberDucky-Keylogger-Netcat,Anthony-Figi,1,0,2,2018-10-31,2021-02-06,Python,,"backdoor, keylogger","linux, windows"
Backdoor,Lukas-VanDyke,0,0,2,2017-03-20,2017-03-20,Python,,backdoor,
letmein,Chiranjit-Mukherjee,0,0,1,2016-12-02,2016-12-02,Python,,backdoor,"linux, windows"
Rose,odayalhalbe,0,2,1,2018-11-27,2018-11-27,Python,,backdoor,
HTTP-Server-Cracker,DanielThurau,0,0,1,2018-02-11,2018-07-11,Python,,backdoor,
linux_backdoor,malik19921992,1,0,0,2019-03-15,2019-04-20,Shell,,backdoor,linux
RAT-Remote-Access-Trojan-,kimkunsan,1,1,1,2018-02-19,2020-08-28,Python,,"backdoor, trojan",
seabasstwo,antleypk,0,0,3,2016-03-16,2016-09-07,C#,,backdoor,
reverse-tcp-console,thisforeda,0,0,1,2018-02-11,2018-02-12,C,,backdoor,"linux, windows"
be-root,faculdade,0,0,2,2018-01-19,2021-10-07,PHP,"security, hacking, php, backdoor",backdoor,
backdoor,koralarts,0,1,1,2012-11-03,2014-05-02,Ruby,,backdoor,
anti-cheat-gmod,EnzoCreed,0,0,0,2018-05-05,2018-05-05,Lua,,backdoor,
Tyupkin-malware,Soccorio,0,1,0,2017-10-25,2019-08-21,,,backdoor,
Linux-Backdoor,Yiaoping,0,0,1,2019-04-15,2019-04-24,Python,,"backdoor, keylogger",linux
USBdrop,schoobydrew,1,0,1,2018-08-23,2020-09-16,C,,backdoor,
Kalonline,AngelzGFX,0,2,1,2018-10-16,2018-10-16,C,,backdoor,
Generate_backdoor_Windows10,Escola34,0,1,1,2018-12-11,2018-12-11,Python,,backdoor,"linux, windows"
PyDoor,xXNicolaXx,0,1,0,2018-10-06,2018-10-12,Python,,backdoor,"linux, windows"
Projet-Python-Backdoor,Ayb4btu,0,0,0,2018-12-11,2018-12-27,,,backdoor,
CSE509-Rootkit,leixiangwu,32,12,4,2016-09-30,2021-11-29,C,,"backdoor, rootkit","linux, windows"
backdoor-with-python,ineso,0,0,0,2019-03-27,2019-03-27,Python,,backdoor,
OSX-Pineapple-Backdoor,dalofeco,2,1,1,2016-05-27,2017-09-11,Python,,backdoor,
BackdoorTerminal,koralarts,0,0,1,2012-09-24,2021-11-18,Ruby,,backdoor,
backdoor_python_demo,xspriggan,0,0,1,2015-08-04,2015-08-04,Python,,backdoor,linux
Malduino_Win10_Persistent_Backdoor_With_Special_Sauce,ll3N1GmAll,5,1,3,2019-05-23,2021-11-25,,,backdoor,windows
KZone,tscript3r,0,0,1,2018-03-04,2020-01-17,Pascal,,backdoor,
local_backdoor,taeguk,1,0,3,2015-03-18,2017-02-26,Shell,"backdoor, ubuntu, shell",backdoor,linux
hot-release,oncework,1,0,2,2018-08-12,2020-01-21,CSS,"oncework, electron, edtior, codeexpander",backdoor,
spade,shakenetwork,1,4,1,2017-09-10,2019-12-30,Python,,backdoor,android
Remote-Access-Trojan,malwares,461,279,51,2016-03-02,2021-12-15,Pascal,,trojan,windows
TinyNuke,rossja,256,309,20,2017-03-13,2021-12-17,C++,,"botnet, trojan",
Dendroid,nyx0,150,132,18,2015-02-25,2021-11-04,Java,,trojan,android
BetterAndroRAT,mwsrc,243,149,38,2016-07-11,2021-12-15,Java,,trojan,android
Carberp,nyx0,99,89,10,2015-02-24,2021-12-15,C++,,trojan,
Tinba,nyx0,75,70,9,2015-02-25,2021-12-15,PHP,,trojan,
PlasmaRAT,mwsrc,232,121,25,2016-04-25,2021-12-15,Visual Basic,,"ddos, keylogger",
BetterRAT,mwsrc,49,59,7,2016-06-25,2021-04-16,Visual Basic,,"keylogger, trojan",
Android-RATList,wishihab,586,206,58,2018-04-08,2021-12-18,C,,"botnet, keylogger, trojan","android, mac"
spyrat,M4sc3r4n0,85,44,13,2017-05-30,2021-12-15,Python,,trojan,
rat-shell,stphivos,76,35,12,2015-01-28,2021-12-15,C#,,trojan,windows
dnschan,rwhitcroft,92,35,9,2014-11-07,2021-12-15,C++,,trojan,
ZIB-Trojan,whitepacket,246,109,38,2015-08-13,2019-08-15,,,"botnet, ddos, rootkit, trojan, virus",windows
Alina,nyx0,42,34,3,2015-02-24,2021-08-29,C++,,"rootkit, trojan",
SimpleRAT,mwsrc,16,23,2,2016-05-10,2021-07-12,Visual Basic,,trojan,
android-trojan-service-,androidtrojan1,38,33,6,2016-09-11,2021-12-15,Java,,trojan,android
ZeroRemote,mwsrc,19,22,0,2017-03-01,2021-12-15,Visual Basic,,trojan,
KeyPlexer,nairuzabulhul,33,16,7,2017-01-27,2021-12-16,Python,"python, trojan, malware, keylogger, capstone, captures-logs, reverse-shell, security, computer-science, keystrokes, internet, tcp-server, screenshot, machine, capture, victim-machine, disconnects","backdoor, keylogger, trojan, virus","linux, windows"
Reverse_HTTPS_Bot,ahhh,85,27,15,2015-03-07,2021-11-14,Python,,"botnet, trojan",
Dexter,nyx0,24,27,3,2015-02-25,2021-09-07,C,,trojan,
SocietyPoisonerTrojan,KbaHaxor,17,22,5,2016-07-31,2020-02-06,Java,,trojan,android
PoC-Fake-Msxfs,vallejocc,35,23,5,2015-09-28,2021-12-05,C,,trojan,
n00bRAT,abhishekkr,156,78,15,2010-08-27,2021-12-15,C,"c, trojan, http-server, hacking, rat, remote-administrator-tool",trojan,
splinter,tuian,33,22,2,2016-10-08,2021-12-15,C,,trojan,linux
NTP_Trojan,ahhh,59,24,8,2015-04-06,2021-12-15,Python,,trojan,
njRAT-0.7d,ygpark,19,19,4,2016-04-28,2019-07-17,Visual Basic,,trojan,
Schwarze-Sonne-RAT,mwsrc,18,30,3,2017-03-03,2021-12-15,Pascal,,trojan,
HackSpy-Trojan-Exploit,ratty3697,100,56,26,2016-02-03,2021-11-23,Python,,"keylogger, trojan, virus",windows
trojan-qt,trojan-gfw,34,21,7,2018-03-15,2019-07-16,,,trojan,windows
VineMEMZ,Leurak,32,17,12,2016-08-13,2019-06-10,,,trojan,
QTrojanAssessment,csuft,40,22,6,2014-01-11,2021-10-09,C++,"qt5-framework, qss, chartdirector, shadow-window",trojan,windows
android_trojan,androidtrojan1,99,59,13,2016-08-20,2021-12-15,Java,,trojan,android
android-trojan-starter-,androidtrojan1,12,19,1,2016-09-11,2021-12-15,Java,,trojan,"android, linux"
Pestilence,w0dm4n,10,5,2,2018-03-15,2020-08-22,C,,trojan,
StupidKeylogger,MinhasKamal,348,117,34,2016-07-14,2021-12-16,C++,"keylogger, spyware, trojan, virus, pendrive, java, fud","keylogger, spyware, trojan, virus",windows
android-trojan-php-server,androidtrojan1,15,16,1,2016-09-11,2021-12-15,PHP,,trojan,android
bunitu_tests,hasherezade,17,14,4,2015-08-02,2021-08-05,Python,,"botnet, trojan",
evilBunnyTrojan,alexAubin,35,23,3,2016-01-26,2021-12-01,Python,,"keylogger, trojan",
Trojan-Downloader,Alexuiop1337,10,11,2,2018-03-08,2021-11-09,C#,,"trojan, virus",
adwind-decryptor,mhelwig,17,11,4,2017-01-16,2021-08-05,Java,,trojan,
volatility-browserhooks,eset,37,16,13,2017-10-03,2021-06-12,Python,"volatility-plugins, volatility, volatility-framework, malware-detection",trojan,
NetworkSecurityCourse,drorventura,10,8,3,2014-06-20,2020-12-29,Java,,trojan,
bankbot-mazain,bemre,19,17,4,2017-05-13,2021-09-08,,"android, malware-analysis, report, bankbot","botnet, trojan","android, windows"
Trojan,dongxifu,5,3,2,2015-03-19,2020-08-31,C#,,trojan,
viruses,rummykhan,15,7,2,2015-11-07,2021-06-11,,,"rootkit, trojan, virus, worm",
HyzMall,RafaelGSS,42,19,3,2017-12-16,2021-08-29,C++,,"keylogger, trojan, virus",windows
android-trojan-streamer,androidtrojan1,11,12,4,2016-09-11,2021-12-15,Java,,trojan,android
trojan,air01a,12,3,6,2014-01-09,2019-04-13,C++,,trojan,
party,DemocracyEarth,8,3,7,2016-11-07,2019-09-06,,"political, text",trojan,
MrRAT,user696,13,10,3,2017-03-11,2021-10-11,Python,"rat, trojan",trojan,"linux, windows"
GoATS,user696,13,11,5,2017-03-13,2021-07-05,Go,"trojan, rat","rootkit, trojan",windows
AES-Crypter-WIN32,yuang1516,13,13,2,2014-12-29,2021-09-14,C++,,trojan,windows
Adam,Cooolis,2,2,1,2018-12-09,2019-06-19,C,,"trojan, virus",
MinerDropper,DylanAlloy,21,7,1,2017-04-28,2021-11-30,C#,"trojan, cryptocurrency, miner, csharp",trojan,windows
node-reverse-trojan,joshterrill,14,7,1,2015-08-28,2021-04-25,JavaScript,,trojan,
Carberp-InjectDLL-win32-x64,UpperCaveFrozenMan,8,4,2,2015-09-21,2021-03-25,C++,,trojan,
BlackANT,bezzad,6,1,2,2015-10-24,2018-10-26,C#,,trojan,
FHEAgainstHTH,xiehongfeng100,4,4,3,2015-03-25,2021-03-12,C++,,trojan,
XBot,pkobielak,8,0,1,2015-07-16,2020-10-01,C++,,"botnet, trojan",
Haremg0.B-cl,mickdec,8,2,0,2018-11-09,2020-01-31,C,"trojan, virus, generator","trojan, virus",windows
YATH,russlank,6,1,2,2013-08-08,2020-10-01,C++,,trojan,
wash,chrisallenlane,28,7,5,2012-11-19,2019-07-15,JavaScript,,trojan,
AndroidTrojan,guaiyt,2,3,3,2017-09-05,2019-07-22,Java,,trojan,android
pyrat,Xross-d,3,3,1,2016-08-03,2020-08-27,Python,,trojan,windows
Trojan,pashayogi,3,6,0,2019-05-24,2019-11-29,Python,,"ddos, trojan",
cxk-trojan,pgr-hub-malware-studio,5,1,2,2019-04-20,2021-08-22,C++,"malware-samples, cxk-trojan, pgr-hub-malware-studio",trojan,
HardwareTrojanLab,eriksargent,5,2,1,2017-04-20,2021-03-12,Verilog,,trojan,
WARZONE-RAT-1.71-CRACKED-by-UNKNOWN,braga85,29,15,2,2019-03-12,2019-08-16,,,"keylogger, trojan",
Atlassian-Confluence-Trojan,Lz1y,3,0,1,2018-05-22,2019-07-15,Java,,trojan,
susrat,ranbe1,2,1,2,2016-08-17,2019-01-18,C,,trojan,
deathsector_FUD_crypter,DeathSector1337,4,9,1,2018-01-15,2021-11-02,,,"trojan, virus",
PlanetExpressStockTracker,malcomvetter,4,2,3,2018-01-23,2019-08-26,C#,,trojan,windows
Zeus-Zbot_Botnet,ruCyberPoison,11,14,0,2017-03-27,2021-11-24,C++,,"botnet, trojan",windows
IRC-Bot,evilxyz,5,2,1,2016-11-15,2021-03-11,Python,,"botnet, ddos, trojan",
quant_loader_decoder,0bscurec0de,3,0,1,2018-01-18,2021-03-17,Python,,trojan,
ITP-470-Labs,amymelody,1,0,1,2014-10-23,2017-06-08,C++,,trojan,
trojan,RafaelSantos025,0,0,0,2019-02-08,2019-02-09,,,trojan,linux
FIght-ON,akashsrnvsn,0,0,0,2013-01-16,2013-04-09,C++,,trojan,
windows-api-Trojan,skyblue4cn,0,0,1,2015-07-12,2015-07-12,C++,,trojan,windows
SimpleFixScanner,francodgstn,2,1,2,2013-03-09,2019-07-26,PHP,,trojan,
Karonte-client,badnack,1,0,1,2011-09-09,2020-04-19,C,,trojan,
TrojanDNS-Windows-Client,rhemz,2,0,2,2012-02-07,2018-09-19,C#,,trojan,windows
Gozi,t3rabyt3,47,34,3,2018-03-13,2021-11-22,C,,"botnet, keylogger",windows
sRAT,ychalier,4,3,1,2017-12-20,2021-11-06,Java,"rat, remote-access-trojan, socket-server, socket-communication",trojan,"mac, windows"
PB-PHOENIXLauncher,un4ckn0wl3z,3,1,2,2019-03-27,2020-08-27,C#,,"botnet, trojan",
LIGMA,ozpv,3,0,0,2018-08-14,2019-04-23,,"windows-7, trojan, dead-meme","trojan, virus",windows
pr0phet-crypter,pr0ph3ttr,0,0,0,2018-07-11,2018-07-11,,,trojan,
Simply-trojan_bat,amirrhmn,1,0,1,2019-02-03,2019-02-03,Batchfile,,"trojan, virus, worm",
idpaTrojaner,swordbreaker,1,1,1,2014-12-18,2015-12-07,C#,,trojan,
Capstone,codeman101,0,0,1,2018-08-11,2018-09-29,C++,,trojan,windows
trojan,novicewu,0,0,1,2019-02-02,2019-02-03,Shell,,trojan,linux
merlin-trojan,ubs121,0,0,2,2015-10-11,2018-12-22,C#,,trojan,
FightOn,thln,0,0,0,2013-01-17,2014-02-20,C++,,trojan,
lennut,adlis,0,0,1,2017-11-22,2017-11-22,,,trojan,
Trojan-BoardGame,varshachandanb,0,0,1,2016-05-04,2016-05-04,Python,,trojan,
Cobrax,nbuzzi,1,0,1,2018-08-05,2019-10-30,Visual Basic,,"keylogger, trojan",windows
FightOn,codydoc,0,0,0,2013-01-16,2013-04-09,C++,,trojan,
dll-Trojan,heyuanree,0,2,1,2018-05-05,2019-08-26,C++,,trojan,windows
mkTrojanHorse,joshuacox,7,4,2,2015-12-02,2021-02-24,Makefile,,trojan,linux
chapter7,96n,0,0,1,2016-09-16,2016-09-16,Python,,trojan,
RAT,BotanKurd,2,0,1,2017-08-23,2020-11-30,Java,,"keylogger, trojan",
TroGrub,crhosm,0,0,2,2015-10-10,2015-10-10,Swift,,trojan,
trojan,srkadoo7,0,0,0,2017-04-05,2017-04-05,Python,,trojan,
Shamman,FlorinMarinRO,0,0,0,2017-10-12,2017-10-12,Java,,trojan,
standby,notyeat,0,1,1,2016-12-24,2018-05-26,Python,,trojan,
Exus,Artucuno,1,0,0,2018-11-08,2018-11-24,,"trojan, win, virus","trojan, virus",
RAT,flowzix,5,1,1,2019-05-03,2021-05-20,C++,,trojan,linux
FakeTokenConfigDecrypt,IKARUSSoftwareSecurity,2,2,6,2014-09-24,2018-06-12,Python,,trojan,
Trojan,MyLibh,10,5,2,2018-09-11,2021-11-02,C++,"c, trojan, c-plus-plus, boost-asio","keylogger, trojan",windows
_rat,x14n23n6,1,0,1,2018-06-11,2020-08-28,Python,,trojan,
hello-world,RyanGiskaas,0,0,0,2017-07-27,2017-07-27,,,"trojan, virus",
usgSupplement,alinaf,0,0,1,2018-02-11,2018-12-05,CSS,,trojan,
Crop-Per-Drop,iwolvy,0,0,0,2018-03-25,2018-03-29,,,trojan,
FirstWindowsTrojan,xianfengting,0,0,0,2018-05-01,2018-06-02,,,trojan,windows
AbantesTrojan,crypticterminal,0,2,0,2018-04-14,2018-08-29,C#,,"trojan, virus",windows
dtBrickByBrick,alinaf,0,0,1,2018-08-13,2020-04-27,CSS,,trojan,
trojan,vank3f3,0,0,0,2019-02-20,2019-02-20,Dockerfile,,trojan,
Next-generation-threats-with-Modular-Trojan,omkar-ukirde,0,0,1,2017-11-15,2018-09-17,Python,,trojan,
AntiBlackANT,bezzad,1,1,1,2015-10-24,2020-01-22,C#,,trojan,
trojan,IShamraI,0,1,1,2014-08-30,2017-01-03,Python,,trojan,
Trojan_Horse,jatin89,0,0,2,2017-01-31,2017-01-31,Python,,trojan,
Asril_Cyber,Asril404,0,0,0,2017-02-24,2017-02-24,,,"keylogger, trojan",windows
mixology,tamzi,0,0,1,2016-10-13,2016-10-13,,,"trojan, virus, worm",
trojans,whitetrashyt,0,0,0,2017-11-30,2017-11-30,,,"trojan, virus",
Security,lewisjaggi,0,0,0,2019-04-01,2019-05-03,C#,,trojan,
trojanFactory,yvlf,0,0,1,2015-10-26,2017-05-17,PHP,,trojan,
PyrPyrInstallerTrojan,DcZipPL,0,0,0,2017-08-15,2018-05-22,,,"trojan, virus",windows
Contracts-Trojan,TROJANFOUNDATION,1,0,1,2018-11-16,2019-03-11,,,trojan,
TrojanPython,PabloSanthus,0,0,0,2016-12-28,2016-12-28,Python,,trojan,
CompSecLab3,sanchewy,0,0,2,2017-02-16,2018-05-13,Java,"trojan, security, large-files, java",trojan,
Trojan,Alex0Young,1,0,1,2018-07-12,2021-07-27,C++,,trojan,
TrojanScanner,ediali,1,0,0,2018-08-14,2019-02-08,,,trojan,
yara-rules-Rats,zombieleet,2,0,2,2016-03-16,2018-05-10,,,trojan,
BHP,rijkaard7,0,0,1,2015-03-21,2015-03-24,Python,,trojan,
Trojan,nhoughto5,1,0,2,2015-05-15,2018-02-18,JavaScript,,trojan,
Rate-your-ride,saresend,1,0,1,2016-10-29,2017-01-13,HTML,,trojan,
Git-Trojan,Br1an6,0,0,2,2017-05-19,2017-05-19,Python,,trojan,
decrypt_CypherStr_kemonsys,0xjiayu,6,2,2,2019-03-17,2021-04-24,Python,,trojan,
birkh-RAT,birkhsoft,4,3,1,2015-05-30,2017-03-13,Visual Basic,,trojan,
LPC,Mathugo,2,0,1,2019-03-16,2021-08-22,C++,,"botnet, keylogger, rootkit, trojan, worm",windows
Uniket,ylu620,2,0,1,2016-01-26,2018-03-16,Objective-C,,trojan,
iPhown,Mackaber,1,0,1,2011-04-23,2016-09-22,,,"trojan, virus",iphone
NetProg-Project5-Trojan,Techman749,0,0,1,2018-03-27,2018-03-27,Java,,trojan,
trojan_virus,sibivarman,1,1,2,2016-08-24,2021-06-28,Java,"java, trojan","trojan, virus",windows
AgenoisTrojan,edwinyzh,0,1,1,2018-06-13,2018-08-29,Pascal,,"trojan, virus",windows
durex,rporcon,0,0,2,2017-11-29,2018-10-31,,,"keylogger, trojan",
WebSocket_RAT,hybridx,4,1,1,2018-05-21,2020-11-26,JavaScript,"python3, websockets, javascript",trojan,"linux, windows"
TheBadRat,NikolozCh,0,0,0,2018-09-12,2020-09-22,Python,,trojan,
bsr,Artucuno,0,0,0,2019-03-21,2019-03-21,,"danooct1, malware, trojan, not-harmful",trojan,
homebrew-trojan,trojan-gfw,5,11,3,2019-02-15,2021-01-04,Ruby,,trojan,
Trojan,nitincypher,0,0,1,2016-01-13,2016-01-13,,,trojan,
MultiDeath,TheLifeGamingYT,2,0,1,2019-07-27,2020-01-03,Visual Basic .NET,,trojan,windows
ratciberseguridad,AldoBarrera,0,0,1,2018-08-04,2018-10-16,Java,,trojan,
Trojan,tntamernassar,0,0,0,2018-07-08,2018-07-08,C++,,"trojan, virus",
1lineserver-trojan,bizosys,0,0,4,2013-02-15,2013-04-09,Java,,trojan,
Twittersploit,sociosploit,4,4,0,2018-07-30,2019-06-01,Python,,trojan,
trickbot_configs,voidm4p,5,2,3,2017-09-26,2021-01-15,,,trojan,
Xmr-Mine-horse-cleaning-tool,771240158,1,0,0,2018-11-07,2018-11-07,C,,"trojan, virus",linux
PISP_Trojan_Bot,gcharan09,0,0,1,2015-03-23,2015-04-05,Python,,"botnet, trojan",
PythonRAT,N00D13,0,1,0,2015-07-06,2015-07-06,,,trojan,
trojanolustumaraci,bangoloji,0,0,0,2018-12-19,2018-12-19,,,trojan,
PWS-Virus,Backshifted,1,1,1,2017-02-09,2019-01-11,C#,,"trojan, virus",
Laocoon_android_trojan_detector_demo,tried42long,0,1,1,2019-01-08,2019-01-08,Java,,"trojan, virus",android
cpp-trojan-horse,HugoBorgesFGA,0,0,1,2018-06-19,2018-06-23,C++,,trojan,
