Repo,Author,Star,Fork,Watch,Creation,Last Update,Language,Topic,Family,Platform
cyber-encampment-curriculum,civilairpatrol,0,0,3,2018-02-09,2018-02-09,,,,
agent,mica-framework,1,1,2,2019-06-09,2020-09-18,Python,,,"linux, windows"
CyberStart,mikaelasanchez,6,0,1,2019-05-25,2021-11-15,Python,,,
python-bot,CoderAcademyEdu,0,0,1,2019-02-18,2019-02-18,Python,,botnet,
ip_messeging,lenadir,0,0,1,2019-02-01,2019-02-01,Java,,,
trackman,alseambusher,0,1,1,2012-12-12,2013-10-23,Shell,,,
silent-netcats,mike-bailey,0,0,2,2015-02-20,2015-03-26,C,,,"linux, windows"
one-hundred-doors-kata,wubin28,0,0,2,2015-11-15,2015-11-15,Java,,,
Night-Owl,hawzie197,0,0,1,2016-02-27,2020-11-17,Python,,,
DOOMER-OPEN-SOURCE,DOOMGUY134,0,0,0,2019-05-24,2019-05-24,,,,
cpoc2,nMoncho,0,0,0,2016-05-14,2016-05-15,C++,,,"linux, windows"
KorsanPhp,sha-7,0,0,1,2016-06-06,2016-06-06,PHP,,,
white-hat,nasonfish,0,1,2,2014-11-06,2018-12-15,PHP,,,
netflow,gunrock,8,2,8,2017-02-17,2021-06-03,Shell,"netflow, gunrock, router, packets, cyber-security, parser, graph-processing, traffic-statistics",worm,
yls-cybersec,seandiggity,10,1,2,2018-08-28,2021-12-01,TeX,,"ddos, ransomware, rootkit","linux, mac, windows"
Week-9,0v3rride,0,1,0,2018-04-14,2018-04-19,,,,
COMP-435-Assignments,obiwancannoli,0,0,0,2018-02-20,2018-02-20,Python,,spoof,linux
cs455,jameseason,0,0,1,2018-02-21,2018-02-21,Python,,,
Speedy-J2,Packoverflow,0,1,0,2019-02-13,2019-04-15,,,botnet,linux
wd_cyber,Ebiquity,3,0,13,2019-03-21,2021-06-28,Python,,ransomware,
uvucsc-rvb,miketweaver,0,0,1,2017-03-08,2017-03-08,,,ddos,"linux, windows"
PythonNoStrachPress,Phillip-C,0,0,0,2019-03-14,2019-03-20,,,,
incident-response-toolkit,g4xyk00,0,2,1,2019-06-17,2021-07-21,Batchfile,,,windows
cybersecurity-tools,rostegg,0,0,1,2018-02-06,2018-02-06,,,spoof,mac
COMP-435-CyberSecurity-Assignments,huy-luong,0,0,2,2018-08-03,2018-08-03,Python,,,
Fake-Instagram-Phishing,mura187,0,0,0,2019-04-15,2019-04-15,,,,
OneOff-Projects,nhern7,0,0,1,2019-03-17,2021-06-08,Python,,,
traffic-simulator,tillson,0,0,1,2018-02-27,2018-02-28,Python,"cybersecurity, network, lab, wireshark, highschool, capture-the-flag",,
python-for-cybersecurity-py2,tmetz,0,0,1,2019-01-25,2019-01-26,Python,,,
Codepath-Security-Week-7,np710,0,0,1,2018-10-15,2018-10-16,,,,
cve-2014-0050,jrrdev,0,0,2,2017-03-15,2017-04-04,Java,cve-2014-0050,,
blackeye,thelinuxchoice,1008,436,100,2018-06-28,2019-08-19,HTML,,,
weeman,samyoyo,224,253,53,2015-10-03,2021-12-12,Python,,spoof,"linux, mac, windows"
Umbrella,4w4k3,196,87,26,2017-03-04,2021-12-16,Python,"dropper, pentest, phishing, windows, linux",,"linux, windows"
Facebook-Phishing-Page,navdeeshahuja,39,45,20,2016-10-08,2021-09-17,PHP,,,linux
smsisher,XiphosResearch,51,23,8,2017-07-19,2021-09-19,Python,"sms, phishing, smsishing, spoofing, sms-spoof, python, clockwork-sms",spoof,
BlackEye-Python,M4cs,255,104,37,2018-10-27,2021-12-15,HTML,"blackeye, blackeye-python, serveo, python, phishing, phishing-sites, phishing-kit",,
hemingway,ytisf,36,24,2,2014-10-30,2021-11-10,Python,,spoof,
Phisher-man,FDX100,53,44,13,2018-06-27,2021-12-10,HTML,,,linux
gophish-cli,GoSecure,36,6,6,2017-02-06,2021-11-23,Python,"phishing, campaign",spam,windows
phurious,thelinuxchoice,32,19,4,2019-02-16,2019-08-13,Shell,,,windows
sus_ssh,patins,16,3,1,2019-06-14,2020-06-25,Python,,,
evil-ssdp,initstring,243,51,9,2018-12-02,2021-12-15,Python,"hacking, pentesting, penetration-testing",spoof,"android, iphone, linux, windows"
NetworkStealer,lynxmk,33,18,6,2019-01-15,2021-12-15,Python,"phishing, windows, linux, dns, dns-spoofing, web, http, flask, flask-application, twitter, facebook, wifi, windows-10, gmail, server, lan, ip, getrequests, postrequests",spoof,"linux, windows"
unicode_phish,f47h3r,2,1,1,2016-06-27,2017-08-03,HTML,,,
